source_path,section,corpus_id,type,primary_workbook
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-abf00f473457c957cebc,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-abf00f473457c957cebc,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-abf32c052928d22b72df,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio Sanctorum},shared-abf32c052928d22b72df,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Antiphona repetita ad Nunc dimittis,shared-abf8210b194d7aeccd8f,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Completorium.txt,Antiphona repetita ad Nunc dimittis,shared-abf8210b194d7aeccd8f,antiphon,workbooks/core/core.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona ad benedictus,shared-abfcc6c1a3956e2b7b81,antiphon,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Laudes.txt,Antiphona ad benedictus,shared-abfcc6c1a3956e2b7b81,antiphon,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona repetita,shared-ac012553db728bc45a16,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Laudes.txt,Antiphona repetita,shared-ac012553db728bc45a16,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona,shared-ac02ba5d2e31dc677973,antiphon,workbooks/by-season/advent.md
web/www/horas/Ordinarium/Laudes.txt,Antiphona,shared-ac02ba5d2e31dc677973,antiphon,workbooks/by-season/advent.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ac105c439b0164e5bdfb,prayer,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Matutinum.txt,Oratio{ex Proprio Sanctorum},shared-ac105c439b0164e5bdfb,prayer,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ac3331bfdfd8c9a54ecd,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio Sanctorum},shared-ac3331bfdfd8c9a54ecd,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Capitulum,shared-ac51086f05eb31e3f8fd,capitulum,workbooks/by-type/capitulum.md
web/www/horas/Ordinarium/Minor.txt,Capitulum,shared-ac51086f05eb31e3f8fd,capitulum,workbooks/by-type/capitulum.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-ac54f9a0ed7918db216c,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-ac54f9a0ed7918db216c,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-ac55fc6723b8222115cc,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-ac55fc6723b8222115cc,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Psalmorum/Psalm75.txt,Psalm 75,shared-ac5989e2696309053e36,psalm,workbooks/by-type/psalm.md
web/www/horas/Ordinarium/Minor.txt,Psalmus 75(8-13) [3],shared-ac5989e2696309053e36,psalm,workbooks/by-type/psalm.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ac5c7d777a35b2503b34,prayer,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Laudes.txt,Oratio{ex Proprio de Tempore},shared-ac5c7d777a35b2503b34,prayer,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ac60e93d26d540f61699,prayer,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Matutinum.txt,Oratio{ex Proprio de Tempore},shared-ac60e93d26d540f61699,prayer,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona repetita,shared-ac69cddb08c4ca99c165,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Laudes.txt,Antiphona repetita,shared-ac69cddb08c4ca99c165,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona ad magnificat,shared-ac708ad832c2f8fcf855,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Antiphona ad magnificat,shared-ac708ad832c2f8fcf855,antiphon,workbooks/core/core.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona repetita ad magnificat,shared-ac71642477d3a3e3a6a5,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Antiphona repetita ad magnificat,shared-ac71642477d3a3e3a6a5,antiphon,workbooks/core/core.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 1,shared-ac7201035425f64551b4,matins-responsory,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 1,shared-ac7201035425f64551b4,matins-responsory,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Psalmorum/Psalm35.txt,Psalm 35,shared-ac736a8b5a6404d17e1e,psalm,workbooks/by-type/psalm.md
web/www/horas/Ordinarium/Laudes.txt,Psalmus 35 [3],shared-ac736a8b5a6404d17e1e,psalm,workbooks/by-type/psalm.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-ac7e226c473ab9f5ff74,antiphon,workbooks/by-season/advent.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-ac7e226c473ab9f5ff74,antiphon,workbooks/by-season/advent.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ac7eb4cecd0bcc5f249a,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Laudes.txt,Oratio{ex Proprio Sanctorum},shared-ac7eb4cecd0bcc5f249a,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ac8a1ce7383b18403658,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Vespera.txt,Oratio{ex Proprio Sanctorum},shared-ac8a1ce7383b18403658,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 5,shared-ac956dc7b9238dcc098e,matins-responsory,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 5,shared-ac956dc7b9238dcc098e,matins-responsory,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-aca528af59354ef6ac1c,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio de Tempore},shared-aca528af59354ef6ac1c,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Commune,&lectio(3),shared-accf9cf5a36d7433c4fa,reading,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Sancti,&lectio(3),shared-accf9cf5a36d7433c4fa,reading,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Tempora,&lectio(3),shared-accf9cf5a36d7433c4fa,reading,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 3,shared-accf9cf5a36d7433c4fa,reading,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 1,shared-acd0f16ca424b0a351dc,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 1,shared-acd0f16ca424b0a351dc,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Benedictions.txt,Benedictio,shared-acd7ce1f2e7c20e292e1,blessing,workbooks/by-type/blessing.md
web/www/horas/Ordinarium/Matutinum.txt,Benedictio,shared-acd7ce1f2e7c20e292e1,blessing,workbooks/by-type/blessing.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ace4c70eda65a71414ed,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Oratio{ex Proprio Sanctorum},shared-ace4c70eda65a71414ed,prayer,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Martyrologium,anticipated day from Divinum Officium Latin Martyrologium,shared-acf89cc4d2691c9d340a,martyrology,workbooks/by-season/eastertide.md
